TWEETS Data	positiveword1	positiveword2	negativeword1	Nword2	nword3	NEGtopos	postoneg	POSadj1	posadj2	label	Word_Count
سرچ|PN انجن|PN گوگل|NN کے|P نائب|ADJ صدر|NN نے|P فضا|NN میں،|UNK 130,000|CA فٹ|NN کی|P بلندی|NN پر|P چھلانگ|NN لگا|VB کر|KER عالمی|ADJ ریکارڈ|NN قائم|ADJ کرلیا۔|UNK چھلانگ|NN کی…|UNK	1	1	0	0	0	0	0	0	0	1	23
| یہ|PP لفظوں|NN كى|CA شرارت|NN ھے|AA سنبهل|VB کر|KER کچھ|Q بهى|PN لِكهنا|UNK تم|PP محبت|NN لفظ|NN ھے|AA ليكن|PN یہ|PP اكثر|PN هو|PN بهى|PN جاتى|PN ھے|AA	1	0	0	0	0	0	0	0	0	1	22
سہیل|PN بخاری|NN کا|P کہنا|VB تھا|TA کہ|SC تعزیتی|ADJ ریفرنس|NN میں|P یاسین|PN ملک|NN کے|P قریبی|ADJ دوستوں|NN کی|P شرکت|NN نہ|NEG کرنے|VB پر|P انہیں|PP بہت|ADV افسوس|NN ہے|TA	1	0	2	0	0	2	0	1	0	2	23
ایک|CA شرابی|ADJ کے|P ہاں|INT ہر|Q وقت|NN شراب|NN کا|P دَور|NN رہتا|VB تھا.ایک|UNK مرتبہ|NN اس|PP کے|P دوست|NN احباب|NN جمع|ADJ تھے|TA شراب|NN تیار|ADJ تھی|TA اس|PP نے|P اپنے|GR غلام|NN	0	0	2	2	0	0	0	0	2	0	25
اسلام|NN آباد:|UNK چیرمین|NN تحریک|NN انصاف|NN عمران|NN خان|NN کا|P کہنا|VB ہےکہ|SC محرم|NN الحرام|NN آنے|VB کے|P باوجود|NN ہم|PP اسلام|NN آباد|ADJ سے|SE نہیں|NEG جائیں|AA گے|TA	0	0	0	0	0	0	2	0	0	0	22
جس|REP قسم|NN گندے|ADJ الفاظ|NN فضلو|NN نے|P دھرنے|VB کی|P خواتین|NN کے|P بارے|NN میں|P استعمال|NN کئے|Q اس|PP پر|P تمام|Q سیاسی|ADJ اور|CC مزھبی|ADJ جماعتوں|NN کو|P انکا|PN بائکاٹ|NN کرنا|VB چاہئے,|UNK	1	1	2	2	0	0	0	2	0	0	26
ایم|PN کیوایم|PN کے|P قائد|ADJ الطاف|NN حسین|ADJ کی|P تصنیف|NN ’’فلسفہ|UNK محبت|NN ‘‘|UNK کے|P انگریزی|PN ترجمہ|NN کی|P تقریب|NN اجراء|NN 24اکتوبر|UNK جمعہ|PN کی|P شام|NN میریٹ|PN ہوٹل|NN میں|P منعقد|ADJ ہوگی,|UNK	1	0	0	0	0	0	0	0	0	1	26
سردار|NN بننے|VB سے|SE پہلے|NN علم|NN حاصل|ADJ کرو،|UNK کہیں|AKP ایسا|PP نہ|NEG ہو|VB کہ|SC سرداری|ADJ کا|P غرور|NN تمہیں|PP طلبِ|NN علم|NN سے|SE روک|VB دے|VB اور|CC تم|PP جاہل|NN بن|VB کر|KER زندگی|NN گذارو|NN	1	0	2	0	0	1	0	0	0	1	28
ایم|PN کیوایم|PN کا|P آزاد|ADJ کشمیرحکومت|UNK سے|SE علیحدگی|NN کا|P اعلاناسکے|UNK ساتھ|NN ہی|I حکومت|NN سے|SE اندر|NN باہر|NN ہونے|VB کا|P عالمی|ADJ ریکارڈ|NN بھی|I بنا|VB ڈالا.|UNK	0	0	0	0	0	0	0	0	0	2	22
| اوہ|INT معذرت،|UNK بے|PN دھیانی،|UNK کئی|Q مہینوں|NN بعد|NN فون|NN سننا|VB پڑ|AA گیا|AA دماغ|NN ہی|I بند|ADJ ہوگیا،|UNK عادت|NN نہیں|NEG فون|NN پر|P بات|NN کرنے|VB کی|P	0	0	2	0	0	2	0	2	0	0	23
مشرف|NN کےدوست|PN شیرافگن|PN نےکہا|PN تھا|TA کہ|SC فضل|PN الرحمن|PN کواس|NN شرط|NN پر|P اپوزیشن|PN لیڈر|NN بنایا|VB گیا|AA تھا|TA کہ|SC وہ|PP مشرف|NN کی|P پالیسیوں|NN کی|P حمایت|NN کریں|VB گے#ڈیزل_کی_اصلیت,|UNK	1	0	2	2	0	0	0	0	0	0	25
| میں|P ابھی|AP باہیک|UNK پر|P مری|ADJ روڈ|PN راولپنڈی|PN سے|SE آیا|VB ھوں.|UNK میٹرو|PN کے|P کام|NN کی|P وجہ|NN سے|SE مری|ADJ روڈ|PN پر|P بہت|ADV زیادہ|ADV گردوغبار|NN ھے|AA ٹریفک|NN کا|P جام|NN رہنا|VB معمول|NN ھے,|UNK	0	0	2	2	0	0	0	0	0	0	30
ایرانی|PN دہشتگردامین|UNK شہیدی|NN نے30|UNK اگست|PN کو|P اسلام|NN آباد|ADJ میں|P مولانا|PN فضل|NN ا|PN الرحمن|PN سے|SE انتقام|NN کا|P اعلان|NN کیا|VB تھاوہی|ADJ ہوا..|UNK بس|NN الله|PN نے|P مولانا|NN کو|P بچا|VB لیا,|UNK	1	0	2	0	0	0	0	1	0	1	27
عمران|NN بھائی|NN اپ|NN کے|P لطیفوں|NN پر|P تو|I اب|AP لوگ|NN کا|P فی|Q زور|NN کا|P ہنستے|VB ہیں.|UNK آپ|PP اپنے|GR شوز|NN کا|P ٹکٹ|NN لگا|VB لیں|AA پیسے|NN مل|VB جائیں|AA گے|TA اور|CC مانگنے|VB کی|P شرمندگی|NN بھی|I نہ|NEG ہو|VB گی,|UNK	1	1	0	2	0	0	1	0	0	1	34
تین|CA چیزیں|NN محبت|NN بڑھانے|VB کا|P ذریعه|NN ھیں|NN )1(|UNK سلام|NN کرنا|VB )2(|UNK دوسروں|PP کے|P لیے|ADV مجلس|NN میں|P جگه|NN خالی|ADJ کرنا|VB )3(|UNK مخاطب|NN کو|P بھترین|ADJ نام|NN سے|SE پکارنا|VB )حضرت|UNK عمر|NN	1	1	0	0	0	0	0	0	2	1	28
|NN عمران|NN خاں|NN زنا|NN اور|CC اپنے|GR ناجائز|ADJ بچوں|NN کو|P پرائیویٹ|PN معامله|NN کھتا|VB ھے|AA کیا|QW ایسے|ADJ شخص|NN کے|P پیچھے|NN قوم|NN کو|P چلنا|VB چاھیے|AA	0	0	2	2	0	0	0	0	0	0	22
انشا|PN جی|PN اٹھو|PN اب|AP کوچ|NN کرو|VB اس|PD شہر|NN میں|P جی|PN کا|P لگانا|VB کیا|VB ہاہاہا|PN اور|CC یہ|PP کہ|SC کر|VB قادری|ADJ صاحب|NN شہر|NN اقتدار|NN پر|P بہت|ADV بڑا|ADJ احسان|NN کر,|UNKگۓ|VB	0	0	0	0	0	0	0	0	0	2	27
