id,text
655c852f86396e0f9543416b,بھائی کیا ہو گیا چل کیوں نہیں رہے ہو کیا کرنا ہے سٹاپ بالکل سیف کر سکتے ہو اس
655c855486396e0f9543416f,ہیلو السلام علیکم اپ کا نام کیا ہے کیا حال ہیں اپ کے
655c8b06acd6f6b65cc9a590,اچھا اب اس میں ایسا کریں نا یہ اور ہے نا میرا میرا پلے سٹور
655c8b8aacd6f6b65cc9a594,سرچ کریں اس کے اوپر روم پہ اردو لگاتا ہے یہاں پر بھی پرنٹ توکل ہے تمام چیزیں نئی ایئر کنڈیشن شپ ہر ایک کو قریب تو ہم لگے ہوئے ہیں خراب وغیرہ صحیح صحیح یہ دونوں دیتے ساتھ دیتی ہے اپ لوگوں کو بھی ہے انجینئر سے اپ نکالی ہے اور اس سے نکالے اور یہاں پر ارشادات صاحب کو بٹھا لیں انشاءاللہ اپ ویسے کریں ایک دفتر میں بلائی ہے جلی سے اور ایک نسلوں میں ان سے کراچی بات ہے اب دوسری بات یہ ہے کہ اب میں کہہ رہا تھا کہ ان سے بھی اپ کو کریں کرا دیتے ہیں نا تحسین فاطمہ جنہوں نے یہ لغت کیا پروفیشنلی زیادہ ہو جائے گا اگر انہیں الریڈی ایک کام کیا ہوا ہے نا کوئی ڈزن میٹر ہے میرا خیال ہے کر لو نا اب لکھ رہا ہم اس میں کوئی چیز ایسی نہ پختہ نہیں کرنا چاہ رہے مفتی اس میں ہونی چاہیے اور جو گنجائش یہ ہونی
655d88516e4931707a66f04a,ابھی تم بولو کچھ ہی بول دے بھائی ہیلو السلام علیکم کیا حال ہیں اپ کے سیو کر
655d896a6e4931707a66f04e,چار گتے لیں ان کو ریاضی کے اصولوں کو مدنظر رکھتے ہوئے برابر برابر اس طرح کاٹیں کہ نیچے سے اوپر کی طرف جاتے ہوئے وہ ایک تکون کی شکل اختیار کر لیں جیسا کہ احرام میں مصر ہیں ایک بات کا خیال رکھیں کہ ان کی لمبی چوڑائی میں کوئی فرق نہ ہو بالکل ٹھیک پیمائش پر مشتمل تکون ہوں ان چاروں کو ٹیپ یا گوند سے جوڑ لیں ایک بات کا خیال رکھیں ان کے چاروں کونوں کو کسی نے کسی سمت میں ہونا چاہیے ایک کو نہ مشرق میں ہو تو ایک مغرب میں اپ اس کے لیے کتب نما کی مدد لے سکتے ہیں لیجیے ایک بڑا احرام مصر ہے نہ صحیح پر ایک چھوٹا احرام مصر ضرور تیار ہے یقین نہیں ارہا چلیں کوئی بات نہیں دو لاسٹ دودھ کے لیں ایک کو اپنے بنائے ہوئے احرام کے نیچے رکھ لیں ایک ساتھ ہی کلی فضا میں رکھ دینا ہے اب دیکھتے رہیں جیسے ہی باہر رکھا ہوا دودھ خراب ہو جائے کب ایران کے نیچے والا گلاس اٹھا کر دودھ کو دیکھیں بالکل تر و تازہ پائیں گے جی ہاں احرام نما احرام نما عمارت کو نہیں کہیں بھی کیوں نہ ہو وقت بیمار ہو جاتا ہے اب بھی تجربات سے یقین نہیں ارہا تو کوئی سبزی لیں اس کے ساتھ بھی تجربہ کریں احرام والی سبزی اس وقت بھی تازہ ہوگی تب احرام کے باہر رکھی ہوئی سبزی خراب ہو چکی ہوگی اس طرح اپ مختلف چیزیں احرام کے نیچے رکھ کر زربات کر سکتے ہیں ٹہریے اپ اپنے اپ کو تجربے کے لیے پیش کیوں نہیں کرتے ہاں جی ایک بڑا احرام نما نوارت عمارت بنائیں اس کے نیچے سو کر دیکھیں اپ بے خوابی کے مریض تھے سوتے ہوئے ڈراؤنے خواب اتے تھے اپنی بڑھتی ہوئی عمر سے پریشان ہیں جلدی مرنا نہیں چاہتے کچھ عرصہ احران کے نیچے سونے کے بعد اپ خود کو ان تمام بیماریوں سے دور چاہتا ہوا محسوس کریں گے انسان کو انسان موت کو شکست تو نہیں دے سکتا اور کچھ عرصے کے لیے ٹال تو سکتا ہے جی ہاں
655d8acabb0c1687f9c48e43,السلام علیکم اپ کا نام کیا ہے
655d8e0453460eedfb5cd174,اس کی گریٹ ایک ہجوم رہتا وہ جنہیں دوست سمجھتا تھا جو نہیں اچھا وقت ختم ہوا سب غائب ہوا سالوں کی دوستیاں گھنٹوں میں بلا دی گئی یہاں تک جنہیں وہ سب سے قریبی دوست سمجھتا تھا انہوں نے کبھی فون کر کے بھی نہیں پوچھا یہی وقت ہے جب اسے گھیرے ڈپریشن نے ا گھیرا چند دوست تھے جو اس سے ملنے ا جاتے ہیں اس کا ڈپریشن بڑھتا جا رہا تھا اس کی کہانی میں دلچسپی اس وجہ سے پیدا ہوئی کہ تھوڑے سے دو بدل کے ساتھ میں بھی ان حالات سے گزرا تھا خود کو صحافتی سیاست کے برج کہلانے کئی سیاسی ہونے اس کی فائنانسنگ پر سیاست کرتے تھے بڑے بڑے بھلے خان کی گاڑیوں کا پٹرول اور سگرٹ تک وہ خریدا کرتا تھا جس میں جس کا میں خود عینی شاہد ہوں ہمارا تعلق دہائیوں پر مشتمل ہے گھٹے کام بھی کیا اور سیاست بھی
655d8e4853460eedfb5cd178,ہیلو بولو کچھ ہاں چلو
655d8ebf53460eedfb5cd17b,بعد نجی ٹی وی سے گفتگو کرتے ہوئے وزیر خارجہ شاہ محمود قریشی نے بتایا کہ ملاقات میں ان کے لیے پہلی دفعہ کام کیا اس تحریر کے جواب میں میرے ہے کہ چیئرمین نے بارہا انہیں ٹھنڈا کرنے کی کوشش کی اور کہ استحکام کے لیے ہمہ وقت جاری ہو جاتی ہیں اللہ تعالی ہم اور حافظ ابن تیمیہ اور غلط بیانی سے اور اس پہ لعن تان کریے اور یہاں اللہ تعالی صحیح ہو رہی ہے سٹاپ کر لو سیو کر لو سٹاپ کر کے دیکھ لیتے ہیں ان کو
