Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Total Frame Count,Total Positive Frames,Total Negative Frames,Total Neutral Frames,General Percentage,Negative_Frame_Sentiments,Positive_Frame_Sentiments
57.58,3@Social_Media_N.wav,سوشل میڈیا اپ کو سجیشن دیتا ہے فور ایگزیمپل اپ جب بھی کوئی سوشل میڈیا اوپن کرتے ہیں تو جس طرح کی اپ نے سرچ کی ہوتی ہے اپ کو سرچ کے مطابق اپ کے جو ہم خیال لوگ ہوتے ہیں ہم خیال میڈیا چینلز ہوتے ہیں ہم خیال گروپس ہوتے ہیں ہم خیال پیجز ہوتے ہیں اور وہ اپ کی سجیشن میں انا شروع ہو جاتے ہیں اور یہ سوشل میڈیا میں اسپیشلی بہت زیادہ ہو رہا ہے اچھا اس میں فلٹر ببلز لگائے جاتے ہیں شاپنگ کرتے ہیں کسی سے گفتگو کرتے ہیں کسی سے کوئی پوائنٹ اف ویو لیتے ہیں یا جس طرح کے پروگرامز اپ دیکھتے ہیں تو وہ اپ کو پورے کا پورا ایک فلٹر لگاکے نیکسٹ ٹائم اپ کو وہی اسٹریم دی جاتی ہے اسی طرح کی پروڈکٹس اپ کو افر کی جاتی ہیں اسی طرح کا ایکسپائر دیا جاتا ہے اب یہ بہت خطرناک فیمل ہے میں صرف اپ کے پاس جو انفارمیشن ارہی ہے اپ کے پاس جو سیلیکشن ارہی ہے اپ کے پاس جو شاپنگ کی اپشنز ا رہی ہیں اپ کے پاس سیر و تفریح کے جو بھی جگہوں کو پرموٹ کیا جا رہا ہے وہ صرف ایک سیلیکٹ طریقے سے اپ کو جج کرکے فلٹرز لگا کے اپ کو ایک چیمبرز کو,4,3,"[21, 41, 42, 53]","[22, 33, 50]",1,57,2,6,31,"(0, 54.385964912280706)","[9, 9, 0, 0]","[9, 0, 0]"
40.26,4@Culture_P.wav,تمہارے معاشی جو حالات ہیں پاکستان کے وہ بہت سارے لوگوں کو اس طرح پے مجبور کریں میں اس کو جسٹیفائی نہیں کر رہا لیکن میں بتا رہا ہوں کہ مجبور کر رہے ہیں اور ان کو پراپر گائیڈنس نہیں مل رہی اور میری جو کچھ پچھلی ویڈیوز میں نے بنائی ہیں اسی بارے میں بتائی ہیں کہ اپ اچھے طریقے سے باعزت طریقے سے باہر جا سکتے ہیں اور اس میں پڑھنے لکھنے جو ایز اے اسٹوڈنٹ سب سے بہتر طریقہ ہے کہ تھوڑے سے ایجوکیشن لے کے اپ فردر ایجوکیشن کے لئے باہر جائیں اور ایک اپنے اپ کو تھوڑا سا سٹیبل کریں پاکستان کو بھی اپنی فیملی کو بھی سپورٹ کریں اور اپنی بھی لائف اچھی بنائیں اچھا اس کو بہت سارے لوگ اس کو بھی غلط سمجھتے ہیں کہ یہ بھی برینڈ رینڈ ہے میں سمجھتا ہوں کہ برینڈ رینڈ نہیں ہے,7,7,"[4, 6, 7, 9, 11, 36, 40]","[12, 17, 17, 22, 31, 33, 33]",1,40,2,1,29,"(0, 72.5)","[0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0]"
62.16,Transgender_P.wav,اور انہوں نے کہا کہ وہ اس موضوع پر میرے ساتھ بات کرنے کے لئے بھی تیار ہے ان کا نام ہے کنول اور چیچا وطنی میں ہی رہتی ہیں اور انہوں نے یہ بتایا جب انہوں نے گفتگو کی تو مجھے محسوس ہوا انہوں نے ماسک لیا ہوا تھا تو میں نے محسوس کیا کہ ان کی اواز تھوڑی سی بھاری ہے میں نے کہا شاید کوئی گلا خراب ہوگا تو انہوں نے کہا کہ میں خواجہ سرا ہوں اور مجھے کچھ پرابلم ہے جس کے لئے وہ سرجیکل پرابلم تھا میرے لئے یہ ائین وہاں سے تو میں نے ان سے کہا کہ مجھے تھوڑا سا بتائیے کہ یہ کیا فینومینا ہے خواجہ سرا ہونے کا کیا بچپن سے ہی ایسے تھی یا کیا تو انہوں نے مجھے باتیں بتائیں وہ اتنی ضروری باتیں ہیں کہ وہ تمام لوگوں تک پہنچنی چاہیے ان کو پتہ لگنا چاہیے کہ ہم نے ایک گروپ کے لوگوں کو مارنا یز کر دیا ہے اور ہم نے یہ سمجھ لیا ہے جیسے وہ ہم میں شامل نہیں ہے اور ان کو ایک الگ کر دیا ہے اور الگ کرکے پھر ان کے ساتھ وہی سلوک کیا جا رہا ہے جو کہ کسی کو بغیر سمجھے ہوئے کہ ان کی زندگی کیا ہے ان کے دل پر کیا گزر رہی ہے اور معاشرے,5,5,"[18, 20, 24, 26, 49]","[5, 12, 14, 48, 60]",1,62,0,4,49,"(0, 79.03225806451613)","[0, 0, 0, 0, 0]","[0, 0, 9, 0, 0]"
60.72,Transgender-N.wav,بندر ان کو کیا ہوتی ہے تو بہت بہت شکریہ ایک تو اپ کا کہ اپ نے مجھے اجازت دی کہ میں کرلوں اچھا میں صرف پہلے تو اپ سے یہ سمجھنا چاہتا ہوں نہ جواب دینا چاہیں بے شک اپنا دیجئے اور ہماری بات کا جو نیت یہی ہے کہ ہم کسی طریقے سے اللہ کی رضا کے لئے لوگوں کو یہ بتا سکیں کہ یہ اصل میں خواجہ سرا کیوں ہوتے ہیں کیسے ہوتے ہیں تو مجھے اپ سے شروع سے بتا رہی تھیں کہ اپ جب پیدا ہوئی تو لوگوں کا یہ خیال تھا کہ اپ لڑکا ہیں ٹھیک ہے ڈاکٹر صاحب سب سے پہلے تو یہ ہے کہ سب کو پتہ ہے ہر چیز کو پتا ہے کہ ہر چیز کو مخلوق کو پیدا کرنے والی اللہ تبارک وتعالی کی ذات ہے انسانی اس پر قدرت نہیں رکھتا کہ اپنے پیشاور پاخانے کو خود بند کر سکے یا کھول سکے ٹھیک ہے اب یہ کروڑوں روپے لگا کے ڈاکٹر بنتے ہیں وقت ایسا اتا ہے جب اللہ کا حکم ائے تو یہ مشینری بھی ناکام ہو جاتی ہے وہ بھی جواب دے جاتی ہے تو ہم خود بند نہیں سکتے ہم خود بلکل نہیں بن سکتے مرد کو اللہ نے مرد بنایا ہے اشرف المخلوقات بنائے انسان کو انسان بنایا ہے,11,5,"[7, 10, 11, 33, 35, 40, 42, 51, 54, 55, 56]","[3, 7, 29, 39, 44]",1,60,19,3,30,"(0, 50.0)","[9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0]","[9, 9, 0, 1, 0]"
54.85,Transgender-2_NPP.wav,یوتوب پیدا کیے اللہ تبارک وتعالی نے کی اور کچھ عورتیں ایسی ہیں ان کے اندر مردوں والی روح ہے وہ کہتی ہیں میں جا رہا ہوں میں ارہا ہوں یہ بھی تو اللہ نے پیدا کی ہے تو جو ہمارے اندر جو روح ڈالی ہے یہ اللہ نے ڈالا ہے اللہ فرماتا ہے کہ میرے بیت اللہ کو گالی دے دو اس کا لحاف پھاڑ دو پر میری بنائی ہوئی مخلوق ہو کبھی حقیر اور کمتر نہ سمجھنا کہ میں انتظار میں بیٹھا ہوں کہ یہ کب بندہ مجھ سے سنا کر لے میں بچوں کو بچپن سے ہوتا ہے یہ زنانہ ہے لڑکیوں کے ساتھ کھیلنا لڑکیوں والی ٹریس کرنا گھروں میں دوپٹے پہننے تو یہ بچپن سے فیلنگ ا جاتی ہے اب یہ مرد ہو تو مرد کون دوپٹے پہنتا بلکل نہیں پہنتا یہ فیلنگ ہے میرا ٹو پیس اچھا ہو میں نے وہاں جانا ہے میں ایک ڈاکٹر ہوں میری یہ پرسنیلٹی ہو تو ہم کہتے ہیں ہماری یہ پرسنیلٹی ہمارا بھائی ہے وہ یہ ہے کہ یہ کہہ رہی ہیں کہ جب ہم یہ پیدا ہوتے ہیں تو ہمارے اندر رول جو تھی وہ لڑکیوں والی لہذا وہ ایک چھوٹی بچی کو بھی جو بظاہر,6,3,"[16, 21, 21, 21, 30, 37]","[19, 39, 42]",1,54,14,7,30,"(0, 55.55555555555556)","[0, 0, 0, 0]","[9, 0, 9]"
65.83,Transgender-3_N.wav,یہ میں لڑکا تھا تو اس کو یہ لگتا ہے کہ میں لڑکی ہوں لہذا اس کو لڑکی والی باتیں پسند اتی ہیں اس کو شرمانا پسند اتا ہے اور اس کو اسی طریقے سے بات کرنی ہے وہ کہتی نہیں میں لڑکی ہوں تو اس کو مارتے ہیں وہ پھر بھی بات نہیں اتی روئی اس کے اندر جو پوری کمیونٹی ہے خواجہ سرا کی ان کے کوئی اچھا کہتے ہیں اللہ یہ کتنی خوبصورت ہے اور یہ کتنی پیاری ہے اس کو یوں کرتے یا اس کا کچھ نہ کچھ کر دیتے ہیں یا اس کو لڑکیوں کے پہناوے میں ہم پسند کرتے ہیں گھر میں بھائی بھی مارتا ہے ماں بھی مارتی ہے کہ نہیں ہمارا بیٹا یہ حرکتیں نہ کرے وہ تو بیٹا بیٹا کرتے رہتے ہیں پر ہمارے اندر بھی تو ایک روح ہے وہ ویٹا والی بالکل نہیں ہوتی اس میں یہ ہوتا ہے کہ چونکہ پیرنٹس اس کو ایکسپٹ نہیں کرتے تو یہ پھر اس گروہ میں شامل ہو جاتے ہیں جو اپنی خوشی اپنی خواہشات کے لئے کہ ہم یہ لیڈیز کپڑے پہنے یہ کر کے گھر سے چلے جاتے ہیں 13 سال کی عمر میں اور پھر یہ,9,7,"[14, 18, 30, 39, 41, 48, 48, 52, 54]","[7, 9, 23, 25, 35, 57, 58]",1,65,29,5,31,"(0, 47.69230769230769)","[9, 9, 9, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]"
47.55,TransgenderN.wav,کی پوری سپورٹ تھی مجھے جب میں نے بولا کہ مجھے نہیں چھپانا ہے ابھی جب میرا رزلٹ ایا میری جو سسٹر ہے وہ کہتی ہے اپ میرا فخر ہے اس نے مجھے ہک کرکے روئی دیکھنے کے لیے ہمارا چینل سبسکرائب کیجئے اور بیل کے ائیکون پر کلک کیجئے تاکہ اپ ہماری تمام انے والی ویڈیو سے باخبر رہ سکیں السلام علیکم ناظرین اردو پر میں خوش امدید میں ہوں اپ کا میزبان زوہیب منشا اج ہم اپ کی ملاقات کروا رہے ہیں پاکستان کی پہلی ٹرانس جینڈر ڈاکٹر ڈاکٹر سارہ گل سے ڈاکٹر سارہ گل نے حال ہی میں ایم بی بی ایس کی ڈگری حاصل کی ہے اور اب ان کے گھر میں ایک مبارکباد دینے کا سلسلہ جاری ہے ٹرانسجینڈر کمیونٹی کی کافی تعداد ان کے گھر ائی ہوئی ہے ائیے اپ ان سے,4,5,"[4, 4, 10, 23]","[1, 7, 14, 41, 44]",1,47,16,4,6,"(1, 34.04255319148936)","[0, 0, 0]","[0, 0, 9, 1, 9]"
59.95,Transgender-1N.wav,اتے ہیں ان کا پیشن معلوم کرتے ہیں اور انہوں نے کن حالات میں رہ کر یہ ڈاکٹریٹ کی ڈگری حاصل کی ہے اور اب نیکسٹ ان کی کیا پلانز ہیں ائیے ہمارے ساتھ وعلیکم السلام ٹھیک ہوں اپ کا سب سے پہلے تو شکریہ یہاں انے کا اور میں امید کرتی ہوں کہ اپ کا اسٹے جہاں جتنی ٹائم تک ہے وہ اچھا گزرے ہیں اڈینس کو اپ کا گھر بھی دکھائیں گے اپ کی سکسیس فل اسٹوری بھی اپ کی ہی زبانی سنیں گے سارا یہاں پر تو ماشاللہ لنگر چل رہا ہے ایکچولی یہ کھانا کھا رہے ہیں تو کھانے کا ٹائم ہے اپ بھی کھانا چاہیں تو اجائیں اور ہمارے یہاں ہر وقت چہلو پہر رہتی ہے ہر وقت ہماری کمیونٹی جو ہے نا ہم بہت مل جل کر رہنے والی کمیونٹی ہے ہم لوگ کو جو فیملیز ہیں انہوں نے ایکسیپٹ مانا نہیں کیا لیکن ہماری نہ اپنی فیملی ہے اپنا ایک سسٹم ہے ہم لوگ ایک دوسرے سے بالکل کنیکٹڈ ہیں تو کوئی بھی مسئلہ ہوتا ہے نہ,6,5,"[51, 52, 52, 57, 59, 60]","[9, 13, 16, 18, 22]",1,59,6,7,17,"(0, 28.8135593220339)","[0, 0, 0, 0, 0]","[0, 0, 1, 0, 0]"
62.16,Transgender-2P.wav,کراچی کے کسی بھی جگہ تو پوری کراچی کی خواہش رکھتے ہو جاتے ہیں اسی طرح کوئی خوشی ہے کوئی کمی ہے تو ہم سب ایک ہیں تو یہ پوری میری فیملی ہے ایسا نہیں کہ صرف دوست ہیں یہ پوری میری فیملی ہے اور ہم اتنی کنیکٹڈ ہیں ابھی میرے رزلٹ پر میری فیملی نے مجھے ایکسیپٹ کیا تو ان کو بھی اور تمام چینلز پر میں نے ایک بات کی کہ انہوں نے کہا اپ فیملی نے ایکسیپٹ کرلیا اب اپ گھر جائیں گی میں گھر یہ بھی میرا گھر ہے جیسے کوئی یہاں پر اجتماعی شادیاں ہو رہی ہیں ماشاء اللہ فل تیار ہیں اور یہ میری فرینڈ ہیں سپنا جی ہیں اور یہ ان کے ساتھ ان کے چیلا ہیں اصل میں ہمارے ہاں برتھ ڈے جو ہے نا دیکھیں شادی تو ہماری ہوتی نہیں ہے تو ہم برتھ ڈے پہ ہی سچ صبر کے اپنے ارمان تو پورے کر سکتی ہیں تو ہم لوگ نہ ہر خوشی کیونکہ خوشیاں اتنی کم ہمیں میسر ہوتی نہ ہم جو موقع ملتا ہے مجھ سے چھوڑتی نہیں ہے تو اب اس اپنا ماشااللہ دے کے حالانکہ خوشی اس کے اس سے زیادہ خوشی ہے,10,12,"[3, 7, 11, 12, 44, 51, 53, 54, 57, 62]","[6, 10, 12, 13, 17, 30, 34, 35, 47, 51, 60, 62]",1,62,2,6,14,"(0, 22.58064516129032)","[9, 0, 0, 0, 0, 0, 0, 0, 0, 9]","[0, 0, 0, 0, 0, 0, 9, 0, 1, 9, 0, 0]"
117.73,Transgender-3P.wav,کیا اپ کہاں سے بیلانگ کرتی ہیں کب کراچی ائی اور کتنی دیر ہوگئی کراچی کے اندر فیملی نے کیسے اغاز میں ایکسیپٹ نہیں کیا کیا پروبلمس رہیں کراچی میں تب ائی جب میں پیدا ہوئی برتھ کراچی کی ہوں اور فیملی میری میں کافی اچھے گھرانے سے میرا تعلق ہے میری کلاس صحیح بٹ اچھے پڑھے لکھے تمیزدار گھرانے سے میرا تعلق ہے میں نے اسکولنگ اپنی پاکستان ایئر فورس بیس مصروف سے کی ہے اور کالج میں نے بحریہ کالج این او ای 1 سے کیا ہے اور میڈیکل میں نے جی ایم ڈی سی سی کیا ہے تو بات ساری یہ ہے کہ میرے گھر پے تعلیم کا ویسے بھی بہت انٹر تک تو والدین کی پوری سپورٹ تھی مجھے تعلیم کی لیکن جب میں نے بولا کہ مجھے نہیں چھپانا ہے کہ میں خواجہ سرا ہوں اور مجھے بتانا ہے تو پرابلمز شروع ہوئی اور چھپائے وہ چیز جاتی ہے جو غلط ہو تو پھر میں نے سوچا کہ کیوں نہ میں سامنے ا کر کام کروں اور اپنے جیسی ان تمام سارہ بلکہ سارا ہی کیا ایسی مجھے بھی بہت کہانیاں اپ کو ملیں گی ان تمام لوگوں کے لئے نہ صرف انسپائریشن بنو بلکہ انہیں بتاؤ کہ مشکل وقت کی بات اچھا وقت بھی اتا ہے اور دو بہنیں ہیں اور مجھے ملا کر 3 مہینے ہیں فیملی نے مجھے اب ایکسیپٹ کیا ہے میری مما نے تو مجھے ہمیشہ سے تعلق میں تھی خاندان والوں نے بہت کچھ بولا ابو نے بھی زائرون کی باتوں میں اکر کافی کچھ کہا لیکن ماں ایک ایسا تعلق ہے نہ ماں نہیں روکتی مجھے ابھی بھی یاد ہے میں اپنی ماں کو بتاتی تھی فون پر امی میں پڑھائی کرنی ہے اور میں رات فنکشن جا رہی ہوں اور صبح میں یہاں جاتی ہوں رات میں مجھے پتھروں پر تھی مجھے اتنی چوٹ لگی تمہیں یہاں روتی تھی نہ میری ماں وہاں روتی تھی میری ماں اور ابھی جب میرا رزلٹ ایا میری جو سسٹر ہے وہ کہتی ہے اپ میرا فخر ہے وہ میری چھوٹی سسٹر ہے میں زیادہ اس نے مجھے ہک کرکے روئی وہ پندرہ بیس منٹ ہوتی ہے رزلٹ میرا تھا رونا مجھے,21,14,"[4, 8, 24, 41, 43, 44, 50, 51, 54, 55, 64, 64, 67, 84, 86, 87, 96, 100, 102, 110, 112]","[14, 15, 15, 17, 18, 18, 39, 68, 75, 83, 102, 104, 107, 111]",1,117,29,10,58,"(0, 49.572649572649574)","[0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0, 0, 9]","[0, 0, 9, 9, 0, 1, 9, 1, 0, 0, 0, 0]"
